Airport.Code,Airport.Name,Time.Label,Time.Month,Time.Month Name,Time.Year,Statistics.# of Delays.Carrier,Statistics.# of Delays.Late Aircraft,Statistics.# of Delays.National Aviation System,Statistics.# of Delays.Security,Statistics.# of Delays.Weather,Statistics.Carriers.Names,Statistics.Carriers.Total,Statistics.Flights.Cancelled,Statistics.Flights.Delayed,Statistics.Flights.Diverted,Statistics.Flights.On Time,Statistics.Flights.Total,Statistics.Minutes Delayed.Carrier,Statistics.Minutes Delayed.Late Aircraft,Statistics.Minutes Delayed.National Aviation System,Statistics.Minutes Delayed.Security,Statistics.Minutes Delayed.Total,Statistics.Minutes Delayed.Weather
JFK,"New York, NY: John F. Kennedy International",2019/10,10,October,2019,99,906,3912,25,792,"Sun Country Airlines,Frontier Airlines Inc.,Spirit Airlines Inc.,Allegiant Air",4,141,6456,35,28230,34862,8304,49271,8738,498,102146,35335
LAX,"Los Angeles, CA: Los Angeles International",2021/10,10,October,2021,1597,100,3869,18,344,"Alaska Airlines Inc.,Frontier Airlines Inc.,United Air Lines Inc.,Spirit Airlines Inc.,Southwest Airlines Co.",5,83,9938,39,12460,22520,39198,91022,61568,702,230148,37658
JFK,"New York, NY: John F. Kennedy International",2011/04,4,April,2011,593,2097,713,0,794,"Allegiant Air,Hawaiian Airlines Inc.,JetBlue Airways,Alaska Airlines Inc.,American Airlines Inc.,Southwest Airlines Co.,United Air Lines Inc.",7,67,4559,32,16063,20721,63020,70343,31021,304,192923,28235
ORD,"Chicago, IL: O'Hare International",2005/08,8,August,2005,1905,1224,2308,19,538,"JetBlue Airways,Alaska Airlines Inc.",2,194,5363,15,21510,27082,38088,42390,52407,985,154196,20326
JFK,"New York, NY: John F. Kennedy International",2001/03,3,March,2001,1451,1479,736,3,179,"Spirit Airlines Inc.,Alaska Airlines Inc.,Allegiant Air,Southwest Airlines Co.,American Airlines Inc.",5,55,9947,38,5751,15791,78916,48904,100199,460,234476,5997
BOS,"Boston, MA: Logan International",2024/04,4,April,2024,402,656,3125,18,75,"Hawaiian Airlines Inc.,JetBlue Airways,Allegiant Air,American Airlines Inc.",4,75,2137,9,23120,25341,61399,39585,83309,1943,231031,44795
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2007/09,9,September,2007,1021,1839,1322,28,103,"Spirit Airlines Inc.,American Airlines Inc.,Delta Air Lines Inc.,Sun Country Airlines,Frontier Airlines Inc.,United Air Lines Inc.,Allegiant Air",7,43,2801,27,7815,10686,26141,97894,19153,242,180464,37034
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2005/01,1,January,2005,286,2471,2607,1,497,"JetBlue Airways,Spirit Airlines Inc.,American Airlines Inc.,United Air Lines Inc.",4,201,630,25,14577,15433,21854,60420,31444,506,142015,27791
JFK,"New York, NY: John F. Kennedy International",2015/03,3,March,2015,1622,2387,3671,17,739,"Delta Air Lines Inc.,JetBlue Airways,Alaska Airlines Inc.,Hawaiian Airlines Inc.",4,259,8035,29,11154,19477,31030,74047,115461,801,258345,37006
LAX,"Los Angeles, CA: Los Angeles International",2008/12,12,December,2008,1332,1531,2194,11,142,"American Airlines Inc.,JetBlue Airways,Spirit Airlines Inc.,Southwest Airlines Co.,Frontier Airlines Inc.,United Air Lines Inc.,Sun Country Airlines",7,106,6319,22,15843,22290,64530,47842,29513,838,160870,18147
DEN,"Denver, CO: Denver International",2003/05,5,May,2003,1419,2476,125,26,362,"Southwest Airlines Co.,Spirit Airlines Inc.,Hawaiian Airlines Inc.,Allegiant Air,Delta Air Lines Inc.",5,145,4424,28,21434,26031,33108,95909,69977,1584,219435,18857
JFK,"New York, NY: John F. Kennedy International",2023/02,2,February,2023,1721,949,1563,4,460,"Southwest Airlines Co.,Hawaiian Airlines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,United Air Lines Inc.,Spirit Airlines Inc.",7,182,987,39,24821,26029,61138,74371,58761,1987,204255,7998
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2022/11,11,November,2022,398,2206,2798,4,544,"United Air Lines Inc.,Delta Air Lines Inc.,Allegiant Air,Southwest Airlines Co.",4,273,4324,8,25947,30552,78699,11961,88593,874,219925,39798
BOS,"Boston, MA: Logan International",2017/06,6,June,2017,957,739,3640,6,133,"American Airlines Inc.,Southwest Airlines Co.,Delta Air Lines Inc.,Spirit Airlines Inc.",4,187,2560,45,19942,22734,48738,32588,113076,1105,215499,19992
SFO,"San Francisco, CA: San Francisco International",2020/05,5,May,2020,1461,326,1894,12,70,"American Airlines Inc.,Alaska Airlines Inc.,Frontier Airlines Inc.,Sun Country Airlines,Hawaiian Airlines Inc.",5,256,1606,41,27874,29777,45204,68116,39493,285,156248,3150
